Data;Produto;UnidadesProduzidas
2024-08-15 15:00:00;Produto B;3
2024-03-25 11:00:00;Produto B;32
2024-04-22 07:00:00;Produto B;20
2024-08-07 02:00:00;Produto B;74
2024-08-22 02:00:00;Produto C;29
2024-10-07 16:00:00;Produto A;52
2024-01-17 07:00:00;Produto B;46
2024-09-02 12:00:00;Produto C;34
2024-05-28 09:00:00;Produto B;84
2024-09-14 16:00:00;Produto A;61
2024-05-09 03:00:00;Produto B;72
2024-09-18 14:00:00;Produto C;71
2024-12-15 16:00:00;Produto A;70
2024-05-09 08:00:00;Produto C;11
2024-10-27 15:00:00;Produto A;82
2024-04-12 06:00:00;Produto A;93
2024-04-23 19:00:00;Produto A;89
2024-12-05 18:00:00;Produto B;63
2024-07-29 16:00:00;Produto C;21
2024-12-03 22:00:00;Produto C;3
2024-06-09 00:00:00;Produto C;82
2024-02-12 20:00:00;Produto A;88
2024-11-03 17:00:00;Produto B;10
2024-01-21 22:00:00;Produto A;27
2024-10-14 22:00:00;Produto C;12
2024-10-16 02:00:00;Produto B;7
2024-07-06 00:00:00;Produto B;17
2024-01-09 14:00:00;Produto B;65
2024-08-01 22:00:00;Produto C;64
2024-09-06 01:00:00;Produto B;26
2024-11-17 17:00:00;Produto B;15
2024-10-20 03:00:00;Produto A;33
2024-03-02 20:00:00;Produto A;62
2024-11-23 10:00:00;Produto B;47
2024-02-05 23:00:00;Produto B;95
2024-04-26 06:00:00;Produto A;35
2024-11-04 16:00:00;Produto A;65
2024-12-30 19:00:00;Produto A;72
2024-08-01 04:00:00;Produto C;76
2024-09-07 19:00:00;Produto C;83
2024-03-14 05:00:00;Produto A;25
2024-11-11 14:00:00;Produto B;57
2024-09-22 14:00:00;Produto A;32
2024-10-14 04:00:00;Produto C;63
2024-03-10 22:00:00;Produto B;12
2024-05-15 02:00:00;Produto C;63
2024-07-12 04:00:00;Produto B;77
2024-02-14 03:00:00;Produto C;92
2024-10-04 20:00:00;Produto B;1
2024-05-11 13:00:00;Produto B;51
2024-09-03 11:00:00;Produto B;70
2024-04-22 05:00:00;Produto B;8
2024-05-31 03:00:00;Produto C;68
2024-08-15 02:00:00;Produto C;5
2024-03-10 07:00:00;Produto B;89
2024-08-21 00:00:00;Produto B;86
2024-11-04 00:00:00;Produto C;92
2024-02-24 10:00:00;Produto B;39
2024-10-09 08:00:00;Produto B;23
2024-09-01 08:00:00;Produto B;68
2024-11-09 14:00:00;Produto A;52
2024-08-20 07:00:00;Produto B;4
2024-08-18 10:00:00;Produto A;47
2024-07-02 21:00:00;Produto B;21
2024-06-05 04:00:00;Produto C;56
2024-01-28 15:00:00;Produto A;66
2024-03-24 06:00:00;Produto A;59
2024-11-29 02:00:00;Produto B;7
2024-03-03 07:00:00;Produto B;49
2024-05-17 16:00:00;Produto A;16
2024-06-05 19:00:00;Produto C;17
2024-08-06 00:00:00;Produto C;84
2024-03-18 05:00:00;Produto B;87
2024-10-01 09:00:00;Produto C;98
2024-02-23 19:00:00;Produto C;75
2024-05-29 05:00:00;Produto B;34
2024-11-10 18:00:00;Produto C;33
2024-10-30 08:00:00;Produto B;26
2024-03-09 04:00:00;Produto A;66
2024-06-03 00:00:00;Produto B;63
2024-01-30 02:00:00;Produto A;87
2024-07-16 09:00:00;Produto A;41
2024-02-05 14:00:00;Produto C;86
2024-12-06 04:00:00;Produto C;58
2024-08-31 23:00:00;Produto C;98
2024-11-04 00:00:00;Produto B;79
2024-09-29 00:00:00;Produto C;10
2024-08-06 17:00:00;Produto A;15
2024-08-03 12:00:00;Produto C;42
2024-03-12 03:00:00;Produto C;93
2024-08-29 07:00:00;Produto B;57
2024-08-18 15:00:00;Produto B;87
2024-07-24 11:00:00;Produto A;17
2024-05-26 06:00:00;Produto B;60
2024-01-09 10:00:00;Produto C;9
2024-06-24 18:00:00;Produto B;36
2024-07-01 21:00:00;Produto A;73
2024-04-06 23:00:00;Produto C;80
2024-11-29 12:00:00;Produto A;36
2024-05-02 03:00:00;Produto B;48
2024-11-20 01:00:00;Produto B;51
2024-01-09 05:00:00;Produto A;97
2024-10-23 21:00:00;Produto C;95
2024-03-21 10:00:00;Produto B;70
2024-09-18 23:00:00;Produto B;74
2024-06-27 10:00:00;Produto C;80
2024-04-14 15:00:00;Produto B;68
2024-01-28 11:00:00;Produto A;22
2024-04-27 03:00:00;Produto B;77
2024-10-22 18:00:00;Produto B;80
2024-09-29 18:00:00;Produto C;93
2024-03-23 18:00:00;Produto A;6
2024-12-13 10:00:00;Produto C;26
2024-05-01 07:00:00;Produto B;75
2024-03-13 06:00:00;Produto B;88
2024-03-17 19:00:00;Produto C;93
2024-12-27 16:00:00;Produto C;3
2024-05-04 00:00:00;Produto C;52
2024-03-22 15:00:00;Produto A;74
2024-08-27 23:00:00;Produto B;60
2024-10-05 22:00:00;Produto C;63
2024-04-09 09:00:00;Produto B;65
2024-07-16 08:00:00;Produto A;52
2024-03-16 02:00:00;Produto A;90
2024-12-05 19:00:00;Produto A;76
2024-12-04 08:00:00;Produto A;14
2024-10-02 16:00:00;Produto B;89
2024-08-18 14:00:00;Produto A;72
2024-06-18 05:00:00;Produto A;68
2024-01-11 22:00:00;Produto C;28
2024-09-18 23:00:00;Produto A;71
2024-03-26 09:00:00;Produto C;10
2024-08-13 23:00:00;Produto A;57
2024-07-08 12:00:00;Produto A;66
2024-05-09 12:00:00;Produto C;90
2024-10-25 06:00:00;Produto A;50
2024-11-04 08:00:00;Produto B;14
2024-05-12 02:00:00;Produto B;16
2024-04-03 23:00:00;Produto A;54
2024-02-18 02:00:00;Produto B;43
2024-07-06 11:00:00;Produto C;42
2024-09-19 07:00:00;Produto A;81
2024-09-15 05:00:00;Produto A;22
2024-03-09 16:00:00;Produto C;68
2024-08-18 19:00:00;Produto C;19
2024-06-23 23:00:00;Produto C;66
2024-12-17 21:00:00;Produto A;39
2024-04-16 13:00:00;Produto C;73
2024-08-21 00:00:00;Produto C;19
2024-01-05 02:00:00;Produto B;16
2024-04-01 16:00:00;Produto B;54
2024-05-03 09:00:00;Produto A;25
2024-07-26 05:00:00;Produto B;18
2024-07-03 17:00:00;Produto B;23
2024-04-29 13:00:00;Produto C;85
2024-02-09 20:00:00;Produto C;11
2024-12-14 00:00:00;Produto B;39
2024-08-25 11:00:00;Produto B;68
2024-10-16 08:00:00;Produto B;25
2024-07-06 05:00:00;Produto A;63
2024-07-23 15:00:00;Produto A;96
2024-06-15 03:00:00;Produto A;30
2024-09-07 15:00:00;Produto B;45
2024-02-20 18:00:00;Produto B;90
2024-07-06 08:00:00;Produto A;61
2024-07-16 07:00:00;Produto A;51
2024-07-08 19:00:00;Produto B;98
2024-12-01 10:00:00;Produto C;9
2024-05-23 14:00:00;Produto A;76
2024-02-13 13:00:00;Produto B;2
2024-10-14 05:00:00;Produto B;5
2024-03-11 13:00:00;Produto C;62
2024-05-23 04:00:00;Produto B;69
2024-12-30 18:00:00;Produto B;52
2024-09-02 15:00:00;Produto A;86
2024-05-19 18:00:00;Produto A;5
2024-01-10 09:00:00;Produto C;59
2024-07-22 21:00:00;Produto C;68
2024-10-19 14:00:00;Produto B;9
2024-08-21 08:00:00;Produto A;93
2024-11-29 04:00:00;Produto C;22
2024-11-16 03:00:00;Produto C;27
2024-07-12 10:00:00;Produto C;10
2024-11-15 23:00:00;Produto B;80
2024-12-08 00:00:00;Produto A;61
2024-11-01 19:00:00;Produto C;51
2024-04-01 21:00:00;Produto A;10
2024-02-14 13:00:00;Produto C;6
2024-05-23 12:00:00;Produto C;62
2024-02-14 04:00:00;Produto A;5
2024-04-06 23:00:00;Produto A;70
2024-05-22 12:00:00;Produto A;63
2024-01-13 13:00:00;Produto B;56
2024-01-26 06:00:00;Produto C;59
2024-05-12 02:00:00;Produto B;63
2024-01-30 03:00:00;Produto A;89
2024-07-31 00:00:00;Produto C;59
2024-01-08 22:00:00;Produto B;51
2024-02-10 20:00:00;Produto C;50
2024-05-03 23:00:00;Produto B;4
2024-09-11 06:00:00;Produto A;48
2024-02-19 08:00:00;Produto B;32
2024-05-18 15:00:00;Produto C;51
2024-05-21 10:00:00;Produto C;52
2024-12-12 15:00:00;Produto C;99
2024-03-16 16:00:00;Produto C;74
2024-08-31 22:00:00;Produto A;34
2024-10-06 13:00:00;Produto B;36
2024-01-24 17:00:00;Produto A;70
2024-08-14 18:00:00;Produto A;43
2024-03-19 23:00:00;Produto A;16
2024-04-23 21:00:00;Produto C;59
2024-06-09 23:00:00;Produto C;53
2024-11-06 15:00:00;Produto C;19
2024-06-16 06:00:00;Produto B;98
2024-03-11 06:00:00;Produto C;89
2024-05-05 09:00:00;Produto B;95
2024-11-21 06:00:00;Produto C;41
2024-01-07 10:00:00;Produto C;81
2024-02-28 17:00:00;Produto A;47
2024-02-02 16:00:00;Produto A;94
2024-12-03 08:00:00;Produto A;54
2024-11-11 00:00:00;Produto B;55
2024-11-01 23:00:00;Produto B;95
2024-10-27 06:00:00;Produto C;19
2024-08-21 04:00:00;Produto B;62
2024-08-29 17:00:00;Produto C;99
2024-04-26 22:00:00;Produto B;93
2024-01-23 09:00:00;Produto B;59
2024-09-06 10:00:00;Produto B;65
2024-03-17 17:00:00;Produto A;68
2024-12-29 04:00:00;Produto B;28
2024-10-17 11:00:00;Produto A;18
2024-08-22 09:00:00;Produto A;26
2024-05-02 22:00:00;Produto B;19
2024-11-29 00:00:00;Produto C;55
2024-07-18 04:00:00;Produto C;57
2024-04-08 16:00:00;Produto C;6
2024-10-04 07:00:00;Produto B;1
2024-12-06 13:00:00;Produto C;8
2024-07-06 07:00:00;Produto A;97
2024-09-07 02:00:00;Produto C;51
2024-10-02 14:00:00;Produto B;85
2024-09-03 15:00:00;Produto C;88
2024-02-05 13:00:00;Produto A;25
2024-06-21 18:00:00;Produto B;47
2024-06-06 01:00:00;Produto C;55
2024-01-24 22:00:00;Produto B;64
2024-02-17 20:00:00;Produto B;83
2024-09-19 05:00:00;Produto B;93
2024-09-26 01:00:00;Produto C;10
2024-11-08 21:00:00;Produto B;56
2024-07-18 01:00:00;Produto C;12
2024-06-09 14:00:00;Produto A;33
2024-04-13 19:00:00;Produto C;71
2024-05-10 04:00:00;Produto A;17
2024-08-25 03:00:00;Produto C;61
2024-05-07 03:00:00;Produto B;10
2024-01-01 04:00:00;Produto C;31
2024-08-05 14:00:00;Produto B;60
2024-08-09 11:00:00;Produto A;70
2024-07-21 21:00:00;Produto C;17
2024-02-06 12:00:00;Produto B;50
2024-10-19 19:00:00;Produto A;37
2024-06-21 14:00:00;Produto A;82
2024-10-17 06:00:00;Produto C;62
2024-10-21 23:00:00;Produto A;90
2024-11-28 19:00:00;Produto B;80
2024-10-10 07:00:00;Produto A;72
2024-07-05 01:00:00;Produto A;88
2024-01-27 11:00:00;Produto B;77
2024-03-11 13:00:00;Produto A;29
2024-07-17 00:00:00;Produto A;32
2024-12-12 07:00:00;Produto A;88
2024-02-04 14:00:00;Produto A;80
2024-08-03 17:00:00;Produto B;11
2024-12-12 04:00:00;Produto A;96
2024-09-04 21:00:00;Produto B;6
2024-04-28 06:00:00;Produto A;35
2024-02-17 22:00:00;Produto A;33
2024-11-11 00:00:00;Produto A;18
2024-03-21 11:00:00;Produto A;37
2024-03-10 08:00:00;Produto B;13
2024-02-15 01:00:00;Produto B;74
2024-01-22 08:00:00;Produto B;90
2024-11-21 05:00:00;Produto C;81
2024-08-06 05:00:00;Produto A;64
2024-01-24 07:00:00;Produto A;1
2024-06-02 00:00:00;Produto B;63
2024-11-04 12:00:00;Produto C;89
2024-05-19 07:00:00;Produto A;34
2024-06-18 14:00:00;Produto B;10
2024-01-25 04:00:00;Produto A;84
2024-10-18 20:00:00;Produto A;7
2024-12-04 18:00:00;Produto B;56
2024-05-11 03:00:00;Produto B;80
2024-06-26 01:00:00;Produto A;37
2024-03-10 23:00:00;Produto A;29
2024-05-26 02:00:00;Produto B;12
2024-10-29 05:00:00;Produto A;17
2024-04-24 08:00:00;Produto A;48
2024-08-04 04:00:00;Produto B;84
2024-03-30 05:00:00;Produto A;26
2024-10-02 17:00:00;Produto A;83
2024-04-13 07:00:00;Produto C;12
2024-09-27 04:00:00;Produto B;21
2024-11-05 05:00:00;Produto C;42
2024-07-04 12:00:00;Produto C;61
2024-09-02 01:00:00;Produto C;58
2024-10-04 17:00:00;Produto A;54
2024-04-28 17:00:00;Produto A;34
2024-11-03 22:00:00;Produto C;7
2024-10-14 17:00:00;Produto C;35
2024-04-13 17:00:00;Produto C;15
2024-07-11 03:00:00;Produto A;65
2024-04-28 07:00:00;Produto C;90
2024-12-21 07:00:00;Produto C;99
2024-09-01 22:00:00;Produto B;25
2024-09-19 15:00:00;Produto B;59
2024-02-05 11:00:00;Produto A;79
2024-03-11 07:00:00;Produto B;86
2024-10-11 17:00:00;Produto B;6
2024-04-11 03:00:00;Produto B;52
2024-06-15 16:00:00;Produto A;79
2024-07-29 12:00:00;Produto B;88
2024-04-24 02:00:00;Produto A;21
2024-08-26 20:00:00;Produto C;71
2024-08-12 11:00:00;Produto B;93
2024-11-29 10:00:00;Produto A;96
2024-08-18 16:00:00;Produto B;32
2024-06-12 01:00:00;Produto C;53
2024-02-14 10:00:00;Produto A;59
2024-11-17 19:00:00;Produto A;69
2024-07-01 12:00:00;Produto A;62
2024-06-20 03:00:00;Produto C;4
2024-08-26 14:00:00;Produto C;86
2024-05-20 13:00:00;Produto C;18
2024-03-27 18:00:00;Produto A;99
2024-10-08 04:00:00;Produto C;81
2024-01-18 09:00:00;Produto B;56
2024-12-12 02:00:00;Produto C;24
2024-06-14 14:00:00;Produto A;66
2024-05-16 03:00:00;Produto B;13
2024-02-04 09:00:00;Produto C;62
2024-11-15 12:00:00;Produto B;54
2024-08-27 09:00:00;Produto B;15
2024-01-18 04:00:00;Produto A;69
2024-11-10 07:00:00;Produto B;3
2024-11-12 03:00:00;Produto B;37
2024-01-31 08:00:00;Produto A;37
2024-10-25 12:00:00;Produto A;3
2024-09-06 12:00:00;Produto A;63
2024-04-14 08:00:00;Produto B;35
2024-05-03 15:00:00;Produto B;52
2024-04-26 02:00:00;Produto B;87
2024-02-16 18:00:00;Produto A;28
2024-06-18 23:00:00;Produto C;94
2024-03-06 11:00:00;Produto B;18
2024-07-30 09:00:00;Produto C;36
2024-07-31 16:00:00;Produto A;33
2024-03-30 07:00:00;Produto B;64
2024-10-10 14:00:00;Produto C;26
2024-11-02 13:00:00;Produto B;48
2024-05-23 08:00:00;Produto B;40
2024-06-05 22:00:00;Produto B;17
2024-08-23 04:00:00;Produto C;40
2024-05-01 10:00:00;Produto A;7
2024-07-26 00:00:00;Produto B;57
2024-09-03 13:00:00;Produto A;8
2024-01-31 08:00:00;Produto A;56
2024-02-26 21:00:00;Produto C;31
2024-07-06 04:00:00;Produto C;59
2024-01-30 02:00:00;Produto A;58
2024-10-26 10:00:00;Produto B;12
2024-01-17 11:00:00;Produto C;48
2024-11-04 08:00:00;Produto B;31
2024-12-02 18:00:00;Produto B;83
2024-06-22 19:00:00;Produto B;63
2024-06-30 16:00:00;Produto A;74
2024-04-14 06:00:00;Produto B;39
2024-01-30 21:00:00;Produto A;76
2024-04-25 22:00:00;Produto A;20
2024-07-25 02:00:00;Produto B;48
2024-08-16 14:00:00;Produto B;71
2024-12-13 07:00:00;Produto B;54
2024-07-26 12:00:00;Produto B;78
2024-10-29 18:00:00;Produto A;75
2024-07-06 03:00:00;Produto B;71
2024-10-26 16:00:00;Produto B;29
2024-08-20 20:00:00;Produto A;74
2024-11-14 19:00:00;Produto C;93
2024-05-31 12:00:00;Produto C;73
2024-02-18 15:00:00;Produto A;48
2024-02-14 06:00:00;Produto C;74
2024-03-30 20:00:00;Produto A;83
2024-11-23 12:00:00;Produto B;56
2024-08-03 01:00:00;Produto B;95
2024-08-09 01:00:00;Produto C;17
2024-09-29 13:00:00;Produto B;9
2024-07-16 01:00:00;Produto C;97
2024-11-01 10:00:00;Produto C;34
2024-08-10 06:00:00;Produto B;45
2024-06-29 10:00:00;Produto B;88
2024-11-29 18:00:00;Produto C;9
2024-10-10 09:00:00;Produto B;7
2024-07-20 22:00:00;Produto A;16
2024-10-07 11:00:00;Produto B;19
2024-10-28 17:00:00;Produto B;6
2024-02-09 17:00:00;Produto A;11
2024-04-15 19:00:00;Produto B;76
2024-10-21 00:00:00;Produto B;61
2024-03-05 06:00:00;Produto C;42
2024-08-08 13:00:00;Produto B;13
2024-02-19 15:00:00;Produto B;12
2024-09-20 01:00:00;Produto A;85
2024-10-16 02:00:00;Produto C;74
2024-04-21 17:00:00;Produto C;20
2024-03-05 04:00:00;Produto C;50
2024-09-14 04:00:00;Produto B;36
2024-08-18 21:00:00;Produto C;92
2024-02-26 21:00:00;Produto A;88
2024-12-28 03:00:00;Produto C;69
2024-12-28 14:00:00;Produto A;37
2024-11-08 06:00:00;Produto C;12
2024-06-28 16:00:00;Produto C;99
2024-02-25 04:00:00;Produto A;40
2024-05-10 21:00:00;Produto C;54
2024-11-05 03:00:00;Produto C;2
2024-05-25 06:00:00;Produto C;50
2024-03-16 10:00:00;Produto B;41
2024-10-01 12:00:00;Produto A;45
2024-05-01 19:00:00;Produto C;9
2024-08-08 21:00:00;Produto A;62
2024-06-23 10:00:00;Produto A;86
2024-09-06 01:00:00;Produto A;47
2024-06-26 20:00:00;Produto C;5
2024-07-16 20:00:00;Produto C;76
2024-07-21 01:00:00;Produto A;1
2024-06-03 13:00:00;Produto B;44
2024-10-02 19:00:00;Produto A;22
2024-12-26 07:00:00;Produto B;38
2024-05-08 00:00:00;Produto A;19
2024-09-29 02:00:00;Produto A;80
2024-01-22 00:00:00;Produto A;31
2024-02-20 14:00:00;Produto C;67
2024-03-04 19:00:00;Produto B;87
2024-11-11 16:00:00;Produto B;42
2024-02-04 07:00:00;Produto A;82
2024-02-08 16:00:00;Produto C;26
2024-07-28 13:00:00;Produto C;13
2024-01-06 13:00:00;Produto B;58
2024-03-28 17:00:00;Produto C;18
2024-05-31 03:00:00;Produto B;67
2024-09-20 04:00:00;Produto B;87
2024-03-18 04:00:00;Produto B;3
2024-07-23 14:00:00;Produto C;55
2024-06-22 23:00:00;Produto B;89
2024-08-10 20:00:00;Produto B;91
2024-09-14 22:00:00;Produto A;58
2024-02-22 08:00:00;Produto B;63
2024-05-20 16:00:00;Produto B;91
2024-08-23 05:00:00;Produto A;52
2024-05-25 06:00:00;Produto A;89
2024-05-29 08:00:00;Produto C;24
2024-12-01 13:00:00;Produto B;72
2024-05-18 18:00:00;Produto C;9
2024-04-22 15:00:00;Produto C;37
2024-12-26 22:00:00;Produto A;94
2024-12-04 08:00:00;Produto C;83
2024-10-23 10:00:00;Produto B;53
2024-02-26 09:00:00;Produto A;80
2024-07-29 23:00:00;Produto B;24
2024-12-22 05:00:00;Produto B;21
2024-11-11 15:00:00;Produto A;40
2024-01-28 19:00:00;Produto B;62
2024-07-05 04:00:00;Produto A;70
2024-10-11 03:00:00;Produto B;69
2024-06-03 23:00:00;Produto A;14
2024-04-24 09:00:00;Produto C;42
2024-11-07 19:00:00;Produto B;50
2024-01-23 11:00:00;Produto A;61
2024-07-25 20:00:00;Produto B;4
2024-07-20 11:00:00;Produto B;72
2024-06-06 07:00:00;Produto B;88
2024-09-08 18:00:00;Produto A;75
2024-10-22 22:00:00;Produto C;17
2024-10-31 16:00:00;Produto C;85
2024-08-09 16:00:00;Produto C;57
2024-09-12 12:00:00;Produto A;90
2024-11-24 19:00:00;Produto C;48
2024-04-25 19:00:00;Produto A;44
2024-02-08 12:00:00;Produto B;45
2024-03-06 21:00:00;Produto B;91
2024-11-17 10:00:00;Produto C;80
2024-05-18 12:00:00;Produto A;90
2024-08-26 01:00:00;Produto B;33
2024-10-19 18:00:00;Produto A;31
2024-01-11 15:00:00;Produto A;47
2024-07-19 04:00:00;Produto B;6
2024-03-17 14:00:00;Produto A;72
2024-01-01 09:00:00;Produto B;71
2024-04-29 15:00:00;Produto B;34
2024-11-04 17:00:00;Produto B;53
2024-11-05 02:00:00;Produto A;14
2024-08-01 12:00:00;Produto B;16
2024-02-12 07:00:00;Produto A;43
2024-04-01 09:00:00;Produto B;73
2024-12-16 15:00:00;Produto B;74
2024-11-06 09:00:00;Produto C;81
2024-06-22 06:00:00;Produto C;12
2024-06-12 13:00:00;Produto C;70
2024-10-17 10:00:00;Produto A;19
2024-10-16 02:00:00;Produto A;41
2024-07-18 08:00:00;Produto B;53
2024-06-15 16:00:00;Produto B;29
2024-03-09 01:00:00;Produto B;70
2024-10-29 18:00:00;Produto B;59
2024-12-28 14:00:00;Produto A;89
2024-01-17 00:00:00;Produto B;64
2024-01-17 20:00:00;Produto B;24
2024-12-06 15:00:00;Produto C;89
2024-03-24 08:00:00;Produto B;16
2024-09-06 13:00:00;Produto B;52
2024-03-01 20:00:00;Produto B;80
2024-10-26 14:00:00;Produto A;6
2024-10-24 12:00:00;Produto C;37
2024-05-31 12:00:00;Produto B;85
2024-07-19 09:00:00;Produto B;4
2024-06-23 02:00:00;Produto C;98
2024-10-28 21:00:00;Produto B;92
2024-10-02 00:00:00;Produto A;38
2024-09-06 21:00:00;Produto B;41
2024-03-26 08:00:00;Produto A;92
2024-07-18 04:00:00;Produto A;81
2024-01-30 20:00:00;Produto B;14
2024-11-26 19:00:00;Produto C;71
2024-08-19 21:00:00;Produto A;86
2024-07-08 08:00:00;Produto C;51
2024-07-26 08:00:00;Produto B;65
2024-05-22 11:00:00;Produto A;93
2024-10-28 15:00:00;Produto B;52
2024-01-11 09:00:00;Produto C;95
2024-02-02 02:00:00;Produto B;30
2024-06-30 19:00:00;Produto B;57
2024-02-14 21:00:00;Produto A;79
2024-12-17 03:00:00;Produto B;82
2024-12-23 12:00:00;Produto B;99
2024-11-25 05:00:00;Produto B;30
2024-07-21 10:00:00;Produto A;98
2024-09-29 16:00:00;Produto C;42
2024-07-15 15:00:00;Produto C;11
2024-04-27 06:00:00;Produto B;27
2024-05-20 14:00:00;Produto A;24
2024-02-22 04:00:00;Produto B;99
2024-10-18 12:00:00;Produto C;39
2024-07-13 17:00:00;Produto A;72
2024-07-07 18:00:00;Produto C;18
2024-10-13 17:00:00;Produto C;77
2024-10-16 13:00:00;Produto A;45
2024-09-17 01:00:00;Produto A;88
2024-11-30 01:00:00;Produto B;87
2024-10-16 05:00:00;Produto B;12
2024-10-18 18:00:00;Produto C;49
2024-02-25 11:00:00;Produto A;94
2024-06-26 13:00:00;Produto A;31
2024-11-14 16:00:00;Produto B;92
2024-08-01 03:00:00;Produto C;22
2024-07-12 05:00:00;Produto C;44
2024-07-21 06:00:00;Produto B;92
2024-05-12 09:00:00;Produto A;64
2024-11-18 02:00:00;Produto B;77
2024-03-31 20:00:00;Produto B;25
2024-07-22 20:00:00;Produto B;51
2024-10-20 11:00:00;Produto B;7
2024-01-06 17:00:00;Produto A;6
2024-09-20 15:00:00;Produto B;24
2024-05-24 16:00:00;Produto A;19
2024-08-15 01:00:00;Produto B;83
2024-04-28 00:00:00;Produto C;9
2024-05-29 03:00:00;Produto A;36
2024-09-05 19:00:00;Produto C;40
2024-06-22 12:00:00;Produto B;93
2024-11-26 21:00:00;Produto B;24
2024-08-20 01:00:00;Produto B;48
2024-06-28 04:00:00;Produto A;63
2024-09-18 05:00:00;Produto C;69
2024-06-08 02:00:00;Produto A;53
2024-03-20 10:00:00;Produto A;54
2024-09-17 14:00:00;Produto B;42
2024-02-01 16:00:00;Produto C;45
2024-11-22 06:00:00;Produto B;90
2024-11-02 06:00:00;Produto A;14
2024-09-16 22:00:00;Produto B;29
2024-09-10 18:00:00;Produto C;6
2024-09-08 07:00:00;Produto B;7
2024-11-16 07:00:00;Produto C;37
2024-12-19 00:00:00;Produto C;53
2024-03-19 15:00:00;Produto B;18
2024-05-16 02:00:00;Produto A;87
2024-01-28 18:00:00;Produto B;38
2024-06-23 12:00:00;Produto A;59
2024-01-28 23:00:00;Produto A;1
2024-10-09 09:00:00;Produto B;68
2024-11-11 10:00:00;Produto A;44
2024-11-27 12:00:00;Produto A;47
2024-08-01 12:00:00;Produto B;35
2024-08-20 17:00:00;Produto B;87
2024-07-18 01:00:00;Produto B;91
2024-06-11 12:00:00;Produto A;60
2024-10-05 05:00:00;Produto C;90
2024-10-17 21:00:00;Produto A;52
2024-09-22 16:00:00;Produto C;8
2024-01-22 19:00:00;Produto B;80
2024-04-09 17:00:00;Produto C;41
2024-04-18 01:00:00;Produto B;3
2024-10-28 16:00:00;Produto B;96
2024-10-16 01:00:00;Produto C;69
2024-09-14 22:00:00;Produto B;84
2024-08-06 08:00:00;Produto C;14
